ITEM|SECTION|TYPE|Google|Google NO SSL|AT and T|Tmobile|Sony Ericson|LG
SLP_MODE|supl|integer|{null}|{null}|{null}|{null}|0|0
POSITION_MODE|supl|text|{null}|{null}|{null}|{null}|GPS_POSITION_MODE_MS_BASED|GPS_POSITION_MODE_MS_BASED
REPORT_POSITION_USE_SUPL_REFLOC|supl|integer|1|2|1|1|1|1
SUPL_TLS_CERT|supl|text|/etc/SuplRootCert|{null}|/etc/SuplRootCert|/etc/SuplRootCert|/etc/SuplRootCert|/etc/SuplRootCert
SUPL_TLS_HOST|supl|text|FQDN|{null}|FQDN|lbs.geo.t-mobile.com|FQDN|FQDN
SUPL_NO_SECURE_PORT|supl|integer|3425|3426|3425|{null}|{null}|{null}
SUPL_SECURE_PORT|supl|integer|7275|{null}|7275|{null}|{null}|{null}
SUPL_PORT|supl|integer|7276|7277|7276|7275|7275|7275
SUPL_HOST|supl|text|supl.google.com|supl.google.com|FQDN|10.176.29.225|supl.sonyericsson.com|lge.glpals.com
